,Адрес объекта,Тип Объекта,Этажность объекта,Дата постройки,Общая площадь объекта,year_range,Number_of_storeys_range,year_range_1959-1989,year_range_1990-2000,year_range_2001-2010,year_range_2011-2024,Number_of_storeys_range_3-4,Number_of_storeys_range_5-9,Number_of_storeys_range_10-12,Number_of_storeys_range_> 13
3431,"ул. Мелеузовская, д.15",Многоквартирный дом,9,1991,6243.5,1990-2000,5-9,False,True,False,False,False,True,False,False
3432,"ул. Мелеузовская, д.17",Многоквартирный дом,9,1992,4240.0,1990-2000,5-9,False,True,False,False,False,True,False,False
3433,"ул. Мелеузовская, д.17 корп.1",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
3434,"ул. Мелеузовская, д.17 корп.2",Многоквартирный дом,9,1993,4134.6,1990-2000,5-9,False,True,False,False,False,True,False,False
3435,"ул. Мелеузовская, д.19",Многоквартирный дом,9,1992,6359.6,1990-2000,5-9,False,True,False,False,False,True,False,False
3436,"ул. Мелеузовская, д.21",Многоквартирный дом,9,1991,4124.2,1990-2000,5-9,False,True,False,False,False,True,False,False
3437,"ул. Мелеузовская, д.21 корп.1",Многоквартирный дом,5,2000,3527.8,1990-2000,5-9,False,True,False,False,False,True,False,False
3438,"ул. Мелеузовская, д.23",Многоквартирный дом,9,1991,8311.7,1990-2000,5-9,False,True,False,False,False,True,False,False
3439,"ул. Мелеузовская, д.25",Многоквартирный дом,9,1991,4111.2,1990-2000,5-9,False,True,False,False,False,True,False,False
3441,"ул. Мелеузовская, д.25 корп.2",Другое строение,2,,0.02,,1-2,False,False,False,False,False,False,False,False
3443,"ул. Мелеузовская, д.27",Многоквартирный дом,9,1991,6231.7,1990-2000,5-9,False,True,False,False,False,True,False,False
3444,"ул. Мелеузовская, д.29",Многоквартирный дом,9,1991,4210.99,1990-2000,5-9,False,True,False,False,False,True,False,False
3445,"ул. Мелеузовская, д.31",Многоквартирный дом,9,1991,6255.5,1990-2000,5-9,False,True,False,False,False,True,False,False
3446,"ул. Мелеузовская, д.5",Многоквартирный дом,2,1975,880.7,1959-1989,1-2,True,False,False,False,False,False,False,False
3447,"ул. Менделеева, д.162",Многоквартирный дом,6,1991,2826.93,1990-2000,5-9,False,True,False,False,False,True,False,False
3448,"ул. Менделеева, д.168",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
3449,"ул. Менделеева, д.168*",Другое строение,0,,0.0,,,False,False,False,False,False,False,False,False
3451,"ул. Менделеева, д.170",Другое строение,5,2014,0.01,2011-2024,5-9,False,False,False,True,False,True,False,False
3453,"ул. Менделеева, д.197",Многоквартирный дом,15,1989,5245.5,1959-1989,> 13,True,False,False,False,False,False,False,True
3454,"ул. Менделеева, д.197 корп.1",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3455,"ул. Менделеева, д.197 корп.2",Многоквартирный дом,15,1992,6114.8,1990-2000,> 13,False,True,False,False,False,False,False,True
3456,"ул. Менделеева, д.199",Многоквартирный дом,9,1972,11125.6,1959-1989,5-9,True,False,False,False,False,True,False,False
3457,"ул. Менделеева, д.199 корп.1",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3458,"ул. Менделеева, д.199 корп.2",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3459,"ул. Менделеева, д.201",Многоквартирный дом,9,1973,12863.9,1959-1989,5-9,True,False,False,False,False,True,False,False
3460,"ул. Менделеева, д.201 корп.1",Многоквартирный дом,5,1970,4230.6,1959-1989,5-9,True,False,False,False,False,True,False,False
3461,"ул. Менделеева, д.201 корп.2",Многоквартирный дом,9,1989,6052.5,1959-1989,5-9,True,False,False,False,False,True,False,False
3462,"ул. Менделеева, д.201.",Другое строение,9,,0.02,,5-9,False,False,False,False,False,True,False,False
3463,"ул. Менделеева, д.203",Многоквартирный дом,9,1973,15934.7,1959-1989,5-9,True,False,False,False,False,True,False,False
3464,"ул. Менделеева, д.203 корп.1",Многоквартирный дом,5,1970,5209.1,1959-1989,5-9,True,False,False,False,False,True,False,False
3465,"ул. Менделеева, д.203 корп.2",Многоквартирный дом,5,1970,5176.2,1959-1989,5-9,True,False,False,False,False,True,False,False
3466,"ул. Менделеева, д.203 корп.а",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3467,"ул. Менделеева, д.203 корп.А",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3468,"ул. Менделеева, д.205 корп.а",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
3469,"ул. Менделеева, д.207",Многоквартирный дом,9,1975,12557.9,1959-1989,5-9,True,False,False,False,False,True,False,False
3470,"ул. Менделеева, д.207 корп.1",Многоквартирный дом,5,1970,4142.4,1959-1989,5-9,True,False,False,False,False,True,False,False
3471,"ул. Менделеева, д.207 корп.пристрой",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3472,"ул. Менделеева, д.211",Многоквартирный дом,9,1971,10939.23,1959-1989,5-9,True,False,False,False,False,True,False,False
3473,"ул. Менделеева, д.211 корп.1",Многоквартирный дом,5,1968,3552.0,1959-1989,5-9,True,False,False,False,False,True,False,False
3474,"ул. Менделеева, д.211 корп.2",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
3475,"ул. Менделеева, д.213",Многоквартирный дом,12,1978,8492.8,1959-1989,10-12,True,False,False,False,False,False,True,False
3476,"ул. Менделеева, д.213 корп.1",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3477,"ул. Менделеева, д.213 корп.2",Многоквартирный дом,5,1968,5198.3,1959-1989,5-9,True,False,False,False,False,True,False,False
3478,"ул. Менделеева, д.215",Многоквартирный дом,9,1971,15929.9,1959-1989,5-9,True,False,False,False,False,True,False,False
3479,"ул. Менделеева, д.215 корп.1",Многоквартирный дом,5,1968,3604.2,1959-1989,5-9,True,False,False,False,False,True,False,False
3480,"ул. Менделеева, д.215 корп.2",Многоквартирный дом,5,1968,5215.8,1959-1989,5-9,True,False,False,False,False,True,False,False
3481,"ул. Менделеева, д.215 корп.3",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
3482,"ул. Менделеева, д.215 корп.4",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
3483,"ул. Менделеева, д.217",Многоквартирный дом,13,1976,8391.1,1959-1989,> 13,True,False,False,False,False,False,False,True
3484,"ул. Менделеева, д.217 корп.1",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3485,"ул. Менделеева, д.217 корп.а",Другое строение,3,,0.01,,3-4,False,False,False,False,True,False,False,False
3486,"ул. Менделеева, д.219",Другое строение,3,,0.01,,3-4,False,False,False,False,True,False,False,False
3487,"ул. Менделеева, д.219 корп.1",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3488,"ул. Менделеева, д.219 корп.2",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3489,"ул. Менделеева, д.219 корп.3",Другое строение,2,,242.03,,1-2,False,False,False,False,False,False,False,False
3490,"ул. Менделеева, д.221",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
3491,"ул. Менделеева, д.225",Многоквартирный дом,16,2008,7273.8,2001-2010,> 13,False,False,True,False,False,False,False,True
3492,"ул. Менделеева, д.227",Многоквартирный дом,16,2008,7397.8,2001-2010,> 13,False,False,True,False,False,False,False,True
3493,"ул. Менделеева, д.229",Многоквартирный дом,16,2008,5807.7,2001-2010,> 13,False,False,True,False,False,False,False,True
3494,"ул. Менделеева, д.229 корп.1",Многоквартирный дом,15,2010,13018.8,2001-2010,> 13,False,False,True,False,False,False,False,True
3495,"ул. Мечетлинская, д.1",Многоквартирный дом,2,1958,373.0,1900-1958,1-2,False,False,False,False,False,False,False,False
3496,"ул. Мечетлинская, д.10",Многоквартирный дом,2,1964,371.2,1959-1989,1-2,True,False,False,False,False,False,False,False
3497,"ул. Мечетлинская, д.10 корп.А",Многоквартирный дом,2,1955,371.9,1900-1958,1-2,False,False,False,False,False,False,False,False
3498,"ул. Мечетлинская, д.11",Многоквартирный дом,2,1958,368.6,1900-1958,1-2,False,False,False,False,False,False,False,False
3499,"ул. Мечетлинская, д.11 корп.А",Многоквартирный дом,2,1957,374.9,1900-1958,1-2,False,False,False,False,False,False,False,False
3500,"ул. Мечетлинская, д.12",Многоквартирный дом,2,1958,372.99,1900-1958,1-2,False,False,False,False,False,False,False,False
3501,"ул. Мечетлинская, д.13",Многоквартирный дом,2,1957,370.7,1900-1958,1-2,False,False,False,False,False,False,False,False
3502,"ул. Мечетлинская, д.13 корп.А",Многоквартирный дом,2,1981,1081.3,1959-1989,1-2,True,False,False,False,False,False,False,False
3503,"ул. Мечетлинская, д.15 корп.1",Многоквартирный дом,5,1994,5519.2,1990-2000,5-9,False,True,False,False,False,True,False,False
3504,"ул. Мечетлинская, д.2",Многоквартирный дом,2,1947,435.6,1900-1958,1-2,False,False,False,False,False,False,False,False
3505,"ул. Мечетлинская, д.2 корп.А",Многоквартирный дом,2,1956,377.7,1900-1958,1-2,False,False,False,False,False,False,False,False
3506,"ул. Мечетлинская, д.3",Многоквартирный дом,2,1958,403.9,1900-1958,1-2,False,False,False,False,False,False,False,False
3507,"ул. Мечетлинская, д.4",Многоквартирный дом,2,1956,385.1,1900-1958,1-2,False,False,False,False,False,False,False,False
3508,"ул. Мечетлинская, д.4 корп.А",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
3509,"ул. Мечетлинская, д.5",Многоквартирный дом,2,1958,400.6,1900-1958,1-2,False,False,False,False,False,False,False,False
3510,"ул. Мечетлинская, д.6",Многоквартирный дом,2,1976,741.8,1959-1989,1-2,True,False,False,False,False,False,False,False
3511,"ул. Мечетлинская, д.6 корп.А",Многоквартирный дом,2,1977,995.0,1959-1989,1-2,True,False,False,False,False,False,False,False
3512,"ул. Мечетлинская, д.7",Многоквартирный дом,2,1958,398.1,1900-1958,1-2,False,False,False,False,False,False,False,False
3513,"ул. Мечетлинская, д.8",Многоквартирный дом,2,1955,372.8,1900-1958,1-2,False,False,False,False,False,False,False,False
3514,"ул. Мечетлинская, д.9",Многоквартирный дом,2,1957,374.6,1900-1958,1-2,False,False,False,False,False,False,False,False
3515,"ул. Мечетлинская, д.9 корп.А",Многоквартирный дом,2,1984,684.2,1959-1989,1-2,True,False,False,False,False,False,False,False
3516,"ул. Мечникова, д.79",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3517,"ул. Миасская, д.22","Жилое здание (Гостиница, Общежитие)",5,1975,0.01,1959-1989,5-9,True,False,False,False,False,True,False,False
3518,"ул. Миасская, д.26",Многоквартирный дом,3,1936,1101.7,1900-1958,3-4,False,False,False,False,True,False,False,False
3520,"ул. Миловская, д.16",Многоквартирный дом,14,2018,36102.2,2011-2024,> 13,False,False,False,True,False,False,False,True
3521,"ул. Мингажева, д.102",Многоквартирный дом,14,2005,9861.6,2001-2010,> 13,False,False,True,False,False,False,False,True
3522,"ул. Мингажева, д.107",Многоквартирный дом,11,1999,11192.2,1990-2000,10-12,False,True,False,False,False,False,True,False
3523,"ул. Мингажева, д.107 корп.1",Другое строение,3,1992,0.01,1990-2000,3-4,False,True,False,False,True,False,False,False
3524,"ул. Мингажева, д.109",Многоквартирный дом,10,1991,11085.5,1990-2000,10-12,False,True,False,False,False,False,True,False
3525,"ул. Мингажева, д.109 корп.1",Многоквартирный дом,10,2007,4823.89,2001-2010,10-12,False,False,True,False,False,False,True,False
3526,"ул. Мингажева, д.120",Школы и ВУЗ,5,,,,5-9,False,False,False,False,False,True,False,False
3527,"ул. Мингажева, д.121",Многоквартирный дом,5,1963,3164.1,1959-1989,5-9,True,False,False,False,False,True,False,False
3528,"ул. Мингажева, д.121 корп.2",Многоквартирный дом,10,1998,5253.2,1990-2000,10-12,False,True,False,False,False,False,True,False
3529,"ул. Мингажева, д.121 корп.3",Многоквартирный дом,10,2001,3113.53,2001-2010,10-12,False,False,True,False,False,False,True,False
3530,"ул. Мингажева, д.121 корп.А",Многоквартирный дом,5,1964,2942.0,1959-1989,5-9,True,False,False,False,False,True,False,False
3531,"ул. Мингажева, д.123",Многоквартирный дом,5,1963,3131.1,1959-1989,5-9,True,False,False,False,False,True,False,False
3532,"ул. Мингажева, д.123 корп.1",Многоквартирный дом,5,1965,3523.3,1959-1989,5-9,True,False,False,False,False,True,False,False
3533,"ул. Мингажева, д.125",Многоквартирный дом,5,1961,2465.8,1959-1989,5-9,True,False,False,False,False,True,False,False
3534,"ул. Мингажева, д.125 корп.1",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3535,"ул. Мингажева, д.126",Другое строение,5,,0.01,,5-9,False,False,False,False,False,True,False,False
3536,"ул. Мингажева, д.127",Многоквартирный дом,5,1960,3487.9,1959-1989,5-9,True,False,False,False,False,True,False,False
3537,"ул. Мингажева, д.127 корп.1",Многоквартирный дом,9,1980,7534.0,1959-1989,5-9,True,False,False,False,False,True,False,False
3538,"ул. Мингажева, д.129",Многоквартирный дом,5,1960,3372.1,1959-1989,5-9,True,False,False,False,False,True,False,False
3539,"ул. Мингажева, д.138","Учебное заведение, комбинат, центр",9,1985,4227.11,1959-1989,5-9,True,False,False,False,False,True,False,False
3540,"ул. Мингажева, д.138 корп.а","Учебное заведение, комбинат, центр",9,1986,3247.91,1959-1989,5-9,True,False,False,False,False,True,False,False
3541,"ул. Мингажева, д.140",Многоквартирный дом,13,2011,10140.57,2011-2024,> 13,False,False,False,True,False,False,False,True
3542,"ул. Мингажева, д.156",Многоквартирный дом,10,1994,5053.9,1990-2000,10-12,False,True,False,False,False,False,True,False
3543,"ул. Мингажева, д.158",Многоквартирный дом,10,1989,7020.6,1959-1989,10-12,True,False,False,False,False,False,True,False
3544,"ул. Мингажева, д.158 корп.1","Учебное заведение, комбинат, центр",10,1990,9350.21,1990-2000,10-12,False,True,False,False,False,False,True,False
3545,"ул. Мингажева, д.158 корп.2",Другое строение,4,1978,0.01,1959-1989,3-4,True,False,False,False,True,False,False,False
3546,"ул. Мингажева, д.160","Учебное заведение, комбинат, центр",12,1979,2148.7,1959-1989,10-12,True,False,False,False,False,False,True,False
3547,"ул. Мингажева, д.160 корп.1","Учебное заведение, комбинат, центр",12,1982,6725.4,1959-1989,10-12,True,False,False,False,False,False,True,False
3548,"ул. Мингажева, д.160 корп.2","Учебное заведение, комбинат, центр",12,1985,6761.1,1959-1989,10-12,True,False,False,False,False,False,True,False
3549,"ул. Мингажева, д.162","Учебное заведение, комбинат, центр",5,1974,4496.5,1959-1989,5-9,True,False,False,False,False,True,False,False
3550,"ул. Мира, д.1 корп.а",Многоквартирный дом,2,1958,725.0,1900-1958,1-2,False,False,False,False,False,False,False,False
3551,"ул. Мира, д.1 корп.г",Многоквартирный дом,2,1958,611.8,1900-1958,1-2,False,False,False,False,False,False,False,False
3552,"ул. Мира, д.1 корп.д",Многоквартирный дом,2,1958,721.0,1900-1958,1-2,False,False,False,False,False,False,False,False
3553,"ул. Мира, д.11",Многоквартирный дом,2,1959,710.9,1959-1989,1-2,True,False,False,False,False,False,False,False
3554,"ул. Мира, д.12",Многоквартирный дом,5,1979,9734.7,1959-1989,5-9,True,False,False,False,False,True,False,False
3555,"ул. Мира, д.13",Другое строение,3,,0.01,,3-4,False,False,False,False,True,False,False,False
3556,"ул. Мира, д.13 корп.1",Другое строение,3,,0.01,,3-4,False,False,False,False,True,False,False,False
3557,"ул. Мира, д.14",Другое строение,12,,0.03,,10-12,False,False,False,False,False,False,True,False
3558,"ул. Мира, д.14.",Другое строение,14,,0.01,,> 13,False,False,False,False,False,False,False,True
3559,"ул. Мира, д.15",Многоквартирный дом,4,1958,3165.7,1900-1958,3-4,False,False,False,False,True,False,False,False
3560,"ул. Мира, д.16",Многоквартирный дом,5,1974,8940.2,1959-1989,5-9,True,False,False,False,False,True,False,False
3561,"ул. Мира, д.16 корп.а",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3562,"ул. Мира, д.17",Многоквартирный дом,4,1955,2108.6,1900-1958,3-4,False,False,False,False,True,False,False,False
3563,"ул. Мира, д.18",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
3564,"ул. Мира, д.19",Многоквартирный дом,4,1956,3413.3,1900-1958,3-4,False,False,False,False,True,False,False,False
3565,"ул. Мира, д.20",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3566,"ул. Мира, д.21",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3567,"ул. Мира, д.22",Многоквартирный дом,4,1957,1998.2,1900-1958,3-4,False,False,False,False,True,False,False,False
3568,"ул. Мира, д.23",Многоквартирный дом,4,1955,3564.8,1900-1958,3-4,False,False,False,False,True,False,False,False
3569,"ул. Мира, д.24",Многоквартирный дом,4,1957,2613.5,1900-1958,3-4,False,False,False,False,True,False,False,False
3570,"ул. Мира, д.24 корп.а",Многоквартирный дом,4,1957,2606.1,1900-1958,3-4,False,False,False,False,True,False,False,False
3571,"ул. Мира, д.28",Многоквартирный дом,5,1954,4470.8,1900-1958,5-9,False,False,False,False,False,True,False,False
3572,"ул. Мира, д.3",Многоквартирный дом,10,1991,9905.5,1990-2000,10-12,False,True,False,False,False,False,True,False
3573,"ул. Мира, д.30",Многоквартирный дом,5,1954,2851.5,1900-1958,5-9,False,False,False,False,False,True,False,False
3574,"ул. Мира, д.31",Многоквартирный дом,4,1950,4208.4,1900-1958,3-4,False,False,False,False,True,False,False,False
3575,"ул. Мира, д.33",Многоквартирный дом,4,1957,3786.6,1900-1958,3-4,False,False,False,False,True,False,False,False
3576,"ул. Мира, д.35",Многоквартирный дом,4,1957,2186.4,1900-1958,3-4,False,False,False,False,True,False,False,False
3577,"ул. Мира, д.36",Многоквартирный дом,4,1936,2286.1,1900-1958,3-4,False,False,False,False,True,False,False,False
3578,"ул. Мира, д.36 корп.а",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3579,"ул. Мира, д.37",Многоквартирный дом,4,1957,3240.8,1900-1958,3-4,False,False,False,False,True,False,False,False
3580,"ул. Мира, д.37 корп.а",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3581,"ул. Мира, д.38",Многоквартирный дом,4,1948,2338.4,1900-1958,3-4,False,False,False,False,True,False,False,False
3582,"ул. Мира, д.39",Многоквартирный дом,4,1957,3257.7,1900-1958,3-4,False,False,False,False,True,False,False,False
3583,"ул. Мира, д.39 корп.1",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
3584,"ул. Мира, д.4",Многоквартирный дом,5,1974,7132.5,1959-1989,5-9,True,False,False,False,False,True,False,False
3585,"ул. Мира, д.4 корп.1",Дет.ясли и сады,3,2014,0.01,2011-2024,3-4,False,False,False,True,True,False,False,False
3586,"ул. Мира, д.44",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
3587,"ул. Мира, д.45",Многоквартирный дом,2,1950,456.4,1900-1958,1-2,False,False,False,False,False,False,False,False
3588,"ул. Мира, д.45 корп.а",Многоквартирный дом,2,1949,521.3,1900-1958,1-2,False,False,False,False,False,False,False,False
3589,"ул. Мира, д.45 корп.б",Многоквартирный дом,2,1950,511.0,1900-1958,1-2,False,False,False,False,False,False,False,False
3590,"ул. Мира, д.46",Многоквартирный дом,10,2011,11218.3,2011-2024,10-12,False,False,False,True,False,False,True,False
3591,"ул. Мира, д.47",Многоквартирный дом,12,2023,7714.5,2011-2024,10-12,False,False,False,True,False,False,True,False
3592,"ул. Мира, д.47 корп.1",Многоквартирный дом,27,2020,11964.41,2011-2024,> 13,False,False,False,True,False,False,False,True
3593,"ул. Мира, д.49",Многоквартирный дом,19,2020,8818.5,2011-2024,> 13,False,False,False,True,False,False,False,True
3594,"ул. Мира, д.5",Многоквартирный дом,9,1974,3833.0,1959-1989,5-9,True,False,False,False,False,True,False,False
3595,"ул. Мира, д.51",Другое строение,1,2019,,2011-2024,,False,False,False,True,False,False,False,False
3596,"ул. Мира, д.6",Другое строение,5,,0.08,,5-9,False,False,False,False,False,True,False,False
3597,"ул. Мира, д.6 корп.а",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3598,"ул. Мира, д.61",Другое строение,3,,0.01,,3-4,False,False,False,False,True,False,False,False
3599,"ул. Мира, д.66",Частный дом,1,1954,16.4,1900-1958,,False,False,False,False,False,False,False,False
3600,"ул. Мира, д.7",Многоквартирный дом,9,1975,12104.7,1959-1989,5-9,True,False,False,False,False,True,False,False
3601,"ул. Мира, д.7 корп.1",Многоквартирный дом,2,1958,710.1,1900-1958,1-2,False,False,False,False,False,False,False,False
3602,"ул. Мира, д.7 корп.2",Многоквартирный дом,2,1958,606.9,1900-1958,1-2,False,False,False,False,False,False,False,False
3603,"ул. Мира, д.7 корп.3",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
3604,"ул. Мира, д.71",Частный дом,1,1952,18.7,1900-1958,,False,False,False,False,False,False,False,False
3605,"ул. Мира, д.73",Частный дом,1,1947,80.2,1900-1958,,False,False,False,False,False,False,False,False
3606,"ул. Мира, д.75",Частный дом,1,1989,50.7,1959-1989,,True,False,False,False,False,False,False,False
3607,"ул. Мира, д.77",Частный дом,1,1989,49.0,1959-1989,,True,False,False,False,False,False,False,False
3608,"ул. Мира, д.8",Многоквартирный дом,18,2017,16953.2,2011-2024,> 13,False,False,False,True,False,False,False,True
3609,"ул. Мира, д.9",Многоквартирный дом,9,1974,3841.6,1959-1989,5-9,True,False,False,False,False,True,False,False
3610,"ул. Мира, д.9 корп.1",Многоквартирный дом,2,1958,612.8,1900-1958,1-2,False,False,False,False,False,False,False,False
3611,"ул. Мира, д.9 корп.2",Многоквартирный дом,2,1959,610.5,1959-1989,1-2,True,False,False,False,False,False,False,False
3612,"ул. Мира, д.9 корп.3",Многоквартирный дом,10,1993,3327.3,1990-2000,10-12,False,True,False,False,False,False,True,False
3613,"ул. Мифтахова, д.23",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3614,"ул. Мифтахова, д.27",Производственный объект,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3615,"ул. Мишкинская, д.10",Многоквартирный дом,2,1941,793.6,1900-1958,1-2,False,False,False,False,False,False,False,False
3616,"ул. Мишкинская, д.2",Многоквартирный дом,2,1941,941.8,1900-1958,1-2,False,False,False,False,False,False,False,False
3617,"ул. Мишкинская, д.4",Многоквартирный дом,2,1941,594.97,1900-1958,1-2,False,False,False,False,False,False,False,False
3618,"ул. Мишкинская, д.6",Многоквартирный дом,2,1941,609.4,1900-1958,1-2,False,False,False,False,False,False,False,False
3619,"ул. Мишкинская, д.8",Многоквартирный дом,2,1942,596.6,1900-1958,1-2,False,False,False,False,False,False,False,False
3620,"ул. Мустая Карима, д.10",Другое строение,2,1952,0.01,1900-1958,1-2,False,False,False,False,False,False,False,False
3621,"ул. Мустая Карима, д.11",Другое строение,2,1906,0.01,1900-1958,1-2,False,False,False,False,False,False,False,False
3622,"ул. Мустая Карима, д.11 корп.А",Другое строение,2,1906,0.01,1900-1958,1-2,False,False,False,False,False,False,False,False
3623,"ул. Мустая Карима, д.16",Многоквартирный дом,10,2007,17520.0,2001-2010,10-12,False,False,True,False,False,False,True,False
3624,"ул. Мустая Карима, д.16 корп.1",Многоквартирный дом,12,2022,13652.3,2011-2024,10-12,False,False,False,True,False,False,True,False
3625,"ул. Мустая Карима, д.19",Другое строение,3,1977,0.01,1959-1989,3-4,True,False,False,False,True,False,False,False
3626,"ул. Мустая Карима, д.28",Многоквартирный дом,10,2006,7608.07,2001-2010,10-12,False,False,True,False,False,False,True,False
3627,"ул. Мустая Карима, д.28 корп.А",Многоквартирный дом,5,1961,1649.4,1959-1989,5-9,True,False,False,False,False,True,False,False
3628,"ул. Мустая Карима, д.3",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
3629,"ул. Мустая Карима, д.4",Другое строение,1,1985,0.01,1959-1989,,True,False,False,False,False,False,False,False
3630,"ул. Мустая Карима, д.41",Многоквартирный дом,10,2000,17365.6,1990-2000,10-12,False,True,False,False,False,False,True,False
3631,"ул. Мустая Карима, д.42",Многоквартирный дом,6,2005,4937.6,2001-2010,5-9,False,False,True,False,False,True,False,False
3632,"ул. Мустая Карима, д.42*",Другое строение,0,,,,,False,False,False,False,False,False,False,False
3633,"ул. Мустая Карима, д.43",Многоквартирный дом,5,1966,2696.2,1959-1989,5-9,True,False,False,False,False,True,False,False
3634,"ул. Мустая Карима, д.44",Многоквартирный дом,5,1972,3674.9,1959-1989,5-9,True,False,False,False,False,True,False,False
3635,"ул. Мустая Карима, д.45",Многоквартирный дом,5,1957,3118.1,1900-1958,5-9,False,False,False,False,False,True,False,False
3636,"ул. Мустая Карима, д.47",Многоквартирный дом,9,1967,4733.8,1959-1989,5-9,True,False,False,False,False,True,False,False
3637,"ул. Мустая Карима, д.48",Многоквартирный дом,13,1996,6263.74,1990-2000,> 13,False,True,False,False,False,False,False,True
3638,"ул. Мустая Карима, д.50",Многоквартирный дом,5,1964,4205.4,1959-1989,5-9,True,False,False,False,False,True,False,False
3639,"ул. Мустая Карима, д.53 корп.55",Другое строение,5,1951,0.03,1900-1958,5-9,False,False,False,False,False,True,False,False
3640,"ул. Мустая Карима, д.6",Многоквартирный дом,2,1917,824.9,1900-1958,1-2,False,False,False,False,False,False,False,False
3641,"ул. Мустая Карима, д.69",Другое строение,3,1998,0.01,1990-2000,3-4,False,True,False,False,True,False,False,False
3642,"ул. Мустая Карима, д.69 корп.1",Другое строение,4,,0.01,,3-4,False,False,False,False,True,False,False,False
3643,"ул. Мустая Карима, д.69 корп.2",Другое строение,1,1958,0.01,1900-1958,,False,False,False,False,False,False,False,False
3644,ул. Набережная р. Уфы,Другое строение,0,,0.01,,,False,False,False,False,False,False,False,False
3645,"ул. Набережная р. Уфы, д.1",Другое строение,6,,0.01,,5-9,False,False,False,False,False,True,False,False
3646,"ул. Набережная р. Уфы, д.1 корп.1",Многоквартирный дом,5,2000,2291.8,1990-2000,5-9,False,True,False,False,False,True,False,False
3647,"ул. Набережная р. Уфы, д.1 корп.2",Многоквартирный дом,5,2000,2204.4,1990-2000,5-9,False,True,False,False,False,True,False,False
3648,"ул. Набережная р. Уфы, д.1 корп.3",Многоквартирный дом,9,2008,5707.1,2001-2010,5-9,False,False,True,False,False,True,False,False
3649,"ул. Набережная р. Уфы, д.11",Многоквартирный дом,9,1992,5686.4,1990-2000,5-9,False,True,False,False,False,True,False,False
3650,"ул. Набережная р. Уфы, д.11 корп.1",Многоквартирный дом,12,1992,5521.8,1990-2000,10-12,False,True,False,False,False,False,True,False
3651,"ул. Набережная р. Уфы, д.11/2*",Другое строение,0,,,,,False,False,False,False,False,False,False,False
3652,"ул. Набережная р. Уфы, д.11/2А",Многоквартирный дом,10,2013,5822.3,2011-2024,10-12,False,False,False,True,False,False,True,False
3653,"ул. Набережная р. Уфы, д.11/2Б",Многоквартирный дом,10,2014,5812.0,2011-2024,10-12,False,False,False,True,False,False,True,False
3654,"ул. Набережная р. Уфы, д.11/2В",Многоквартирный дом,10,2015,6882.2,2011-2024,10-12,False,False,False,True,False,False,True,False
3655,"ул. Набережная р. Уфы, д.11/2Г",Многоквартирный дом,10,2014,7310.3,2011-2024,10-12,False,False,False,True,False,False,True,False
3656,"ул. Набережная р. Уфы, д.13",Дет.ясли и сады,2,,0.02,,1-2,False,False,False,False,False,False,False,False
3657,"ул. Набережная р. Уфы, д.15",Многоквартирный дом,9,1992,5678.1,1990-2000,5-9,False,True,False,False,False,True,False,False
3658,"ул. Набережная р. Уфы, д.15 корп.1",Многоквартирный дом,12,1991,5588.6,1990-2000,10-12,False,True,False,False,False,False,True,False
